Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.119 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.097E-02
    1.0000  1.097E-02
    2.0000  1.097E-02
    3.0000  1.097E-02
    4.0000  1.096E-02
    5.0000  1.095E-02
    6.0000  1.094E-02
    7.0000  1.093E-02
    8.0000  1.091E-02
    9.0000  1.090E-02
   10.0000  1.088E-02
   11.0000  1.086E-02
   12.0000  1.084E-02
   13.0000  1.081E-02
   14.0000  1.079E-02
   15.0000  1.076E-02
   16.0000  1.073E-02
   17.0000  1.069E-02
   18.0000  1.066E-02
   19.0000  1.062E-02
   20.0000  1.058E-02
   21.0000  1.054E-02
   22.0000  1.049E-02
   23.0000  1.045E-02
   24.0000  1.040E-02
   25.0000  1.034E-02
   26.0000  1.029E-02
   27.0000  1.023E-02
   28.0000  1.017E-02
   29.0000  1.011E-02
   30.0000  1.004E-02
   31.0000  9.968E-03
   32.0000  9.895E-03
   33.0000  9.819E-03
   34.0000  9.739E-03
   35.0000  9.649E-03
   36.0000  9.563E-03
   37.0000  9.473E-03
   38.0000  9.379E-03
   39.0000  9.282E-03
   40.0000  9.181E-03
   41.0000  9.076E-03
   42.0000  8.973E-03
   43.0000  8.860E-03
   44.0000  8.742E-03
   45.0000  8.620E-03
   46.0000  8.494E-03
   47.0000  8.364E-03
   48.0000  8.228E-03
   49.0000  8.088E-03
   50.0000  7.944E-03
   51.0000  7.794E-03
   52.0000  7.640E-03
   53.0000  7.480E-03
   54.0000  7.315E-03
   55.0000  7.145E-03
   56.0000  6.970E-03
   57.0000  6.790E-03
   58.0000  6.604E-03
   59.0000  6.412E-03
   60.0000  6.216E-03
   61.0000  6.013E-03
   62.0000  5.806E-03
   63.0000  5.593E-03
   64.0000  5.375E-03
   65.0000  5.151E-03
   66.0000  4.923E-03
   67.0000  4.690E-03
   68.0000  4.452E-03
   69.0000  4.210E-03
   70.0000  3.965E-03
   71.0000  3.718E-03
   72.0000  3.466E-03
   73.0000  3.215E-03
   74.0000  2.963E-03
   75.0000  2.712E-03
   76.0000  2.464E-03
   77.0000  2.219E-03
   78.0000  1.978E-03
   79.0000  1.750E-03
   80.0000  1.530E-03
   81.0000  1.322E-03
   82.0000  1.128E-03
   83.0000  9.497E-04
   84.0000  7.879E-04
   85.0000  6.426E-04
   86.0000  5.126E-04
   87.0000  3.967E-04
   88.0000  2.941E-04
   89.0000  2.054E-04
------------------------------------------------------------
