Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.209 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.098E-02
    1.0000  1.098E-02
    2.0000  1.098E-02
    3.0000  1.097E-02
    4.0000  1.097E-02
    5.0000  1.096E-02
    6.0000  1.095E-02
    7.0000  1.094E-02
    8.0000  1.092E-02
    9.0000  1.091E-02
   10.0000  1.089E-02
   11.0000  1.087E-02
   12.0000  1.085E-02
   13.0000  1.082E-02
   14.0000  1.079E-02
   15.0000  1.077E-02
   16.0000  1.074E-02
   17.0000  1.070E-02
   18.0000  1.067E-02
   19.0000  1.063E-02
   20.0000  1.059E-02
   21.0000  1.055E-02
   22.0000  1.050E-02
   23.0000  1.046E-02
   24.0000  1.041E-02
   25.0000  1.035E-02
   26.0000  1.030E-02
   27.0000  1.024E-02
   28.0000  1.018E-02
   29.0000  1.012E-02
   30.0000  1.005E-02
   31.0000  9.980E-03
   32.0000  9.907E-03
   33.0000  9.831E-03
   34.0000  9.752E-03
   35.0000  9.662E-03
   36.0000  9.576E-03
   37.0000  9.486E-03
   38.0000  9.393E-03
   39.0000  9.296E-03
   40.0000  9.195E-03
   41.0000  9.090E-03
   42.0000  8.988E-03
   43.0000  8.875E-03
   44.0000  8.758E-03
   45.0000  8.636E-03
   46.0000  8.510E-03
   47.0000  8.380E-03
   48.0000  8.245E-03
   49.0000  8.105E-03
   50.0000  7.961E-03
   51.0000  7.811E-03
   52.0000  7.657E-03
   53.0000  7.498E-03
   54.0000  7.333E-03
   55.0000  7.164E-03
   56.0000  6.989E-03
   57.0000  6.808E-03
   58.0000  6.623E-03
   59.0000  6.432E-03
   60.0000  6.235E-03
   61.0000  6.033E-03
   62.0000  5.825E-03
   63.0000  5.612E-03
   64.0000  5.394E-03
   65.0000  5.170E-03
   66.0000  4.942E-03
   67.0000  4.709E-03
   68.0000  4.471E-03
   69.0000  4.229E-03
   70.0000  3.983E-03
   71.0000  3.735E-03
   72.0000  3.482E-03
   73.0000  3.231E-03
   74.0000  2.979E-03
   75.0000  2.727E-03
   76.0000  2.477E-03
   77.0000  2.232E-03
   78.0000  1.989E-03
   79.0000  1.760E-03
   80.0000  1.538E-03
   81.0000  1.329E-03
   82.0000  1.134E-03
   83.0000  9.542E-04
   84.0000  7.914E-04
   85.0000  6.452E-04
   86.0000  5.145E-04
   87.0000  3.981E-04
   88.0000  2.950E-04
   89.0000  2.059E-04
------------------------------------------------------------
