Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.270 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.099E-02
    1.0000  1.099E-02
    2.0000  1.098E-02
    3.0000  1.098E-02
    4.0000  1.097E-02
    5.0000  1.096E-02
    6.0000  1.095E-02
    7.0000  1.094E-02
    8.0000  1.093E-02
    9.0000  1.091E-02
   10.0000  1.089E-02
   11.0000  1.087E-02
   12.0000  1.085E-02
   13.0000  1.083E-02
   14.0000  1.080E-02
   15.0000  1.077E-02
   16.0000  1.074E-02
   17.0000  1.071E-02
   18.0000  1.067E-02
   19.0000  1.064E-02
   20.0000  1.060E-02
   21.0000  1.055E-02
   22.0000  1.051E-02
   23.0000  1.046E-02
   24.0000  1.041E-02
   25.0000  1.036E-02
   26.0000  1.031E-02
   27.0000  1.025E-02
   28.0000  1.019E-02
   29.0000  1.012E-02
   30.0000  1.006E-02
   31.0000  9.988E-03
   32.0000  9.915E-03
   33.0000  9.839E-03
   34.0000  9.760E-03
   35.0000  9.670E-03
   36.0000  9.585E-03
   37.0000  9.495E-03
   38.0000  9.402E-03
   39.0000  9.305E-03
   40.0000  9.205E-03
   41.0000  9.100E-03
   42.0000  8.998E-03
   43.0000  8.885E-03
   44.0000  8.768E-03
   45.0000  8.647E-03
   46.0000  8.521E-03
   47.0000  8.391E-03
   48.0000  8.256E-03
   49.0000  8.117E-03
   50.0000  7.972E-03
   51.0000  7.823E-03
   52.0000  7.669E-03
   53.0000  7.510E-03
   54.0000  7.346E-03
   55.0000  7.176E-03
   56.0000  7.001E-03
   57.0000  6.821E-03
   58.0000  6.636E-03
   59.0000  6.444E-03
   60.0000  6.248E-03
   61.0000  6.046E-03
   62.0000  5.838E-03
   63.0000  5.625E-03
   64.0000  5.407E-03
   65.0000  5.183E-03
   66.0000  4.955E-03
   67.0000  4.721E-03
   68.0000  4.483E-03
   69.0000  4.241E-03
   70.0000  3.995E-03
   71.0000  3.747E-03
   72.0000  3.493E-03
   73.0000  3.242E-03
   74.0000  2.989E-03
   75.0000  2.736E-03
   76.0000  2.486E-03
   77.0000  2.240E-03
   78.0000  1.996E-03
   79.0000  1.767E-03
   80.0000  1.544E-03
   81.0000  1.334E-03
   82.0000  1.138E-03
   83.0000  9.573E-04
   84.0000  7.938E-04
   85.0000  6.469E-04
   86.0000  5.158E-04
   87.0000  3.990E-04
   88.0000  2.956E-04
   89.0000  2.062E-04
------------------------------------------------------------
