Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.057 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.097E-02
    1.0000  1.097E-02
    2.0000  1.096E-02
    3.0000  1.096E-02
    4.0000  1.095E-02
    5.0000  1.095E-02
    6.0000  1.093E-02
    7.0000  1.092E-02
    8.0000  1.091E-02
    9.0000  1.089E-02
   10.0000  1.087E-02
   11.0000  1.085E-02
   12.0000  1.083E-02
   13.0000  1.081E-02
   14.0000  1.078E-02
   15.0000  1.075E-02
   16.0000  1.072E-02
   17.0000  1.069E-02
   18.0000  1.065E-02
   19.0000  1.061E-02
   20.0000  1.057E-02
   21.0000  1.053E-02
   22.0000  1.049E-02
   23.0000  1.044E-02
   24.0000  1.039E-02
   25.0000  1.034E-02
   26.0000  1.028E-02
   27.0000  1.022E-02
   28.0000  1.016E-02
   29.0000  1.010E-02
   30.0000  1.003E-02
   31.0000  9.960E-03
   32.0000  9.887E-03
   33.0000  9.810E-03
   34.0000  9.731E-03
   35.0000  9.640E-03
   36.0000  9.554E-03
   37.0000  9.463E-03
   38.0000  9.370E-03
   39.0000  9.272E-03
   40.0000  9.171E-03
   41.0000  9.066E-03
   42.0000  8.963E-03
   43.0000  8.849E-03
   44.0000  8.731E-03
   45.0000  8.609E-03
   46.0000  8.483E-03
   47.0000  8.352E-03
   48.0000  8.217E-03
   49.0000  8.077E-03
   50.0000  7.932E-03
   51.0000  7.782E-03
   52.0000  7.627E-03
   53.0000  7.467E-03
   54.0000  7.303E-03
   55.0000  7.133E-03
   56.0000  6.957E-03
   57.0000  6.777E-03
   58.0000  6.591E-03
   59.0000  6.399E-03
   60.0000  6.202E-03
   61.0000  6.000E-03
   62.0000  5.792E-03
   63.0000  5.579E-03
   64.0000  5.361E-03
   65.0000  5.138E-03
   66.0000  4.910E-03
   67.0000  4.677E-03
   68.0000  4.439E-03
   69.0000  4.198E-03
   70.0000  3.953E-03
   71.0000  3.706E-03
   72.0000  3.454E-03
   73.0000  3.204E-03
   74.0000  2.953E-03
   75.0000  2.703E-03
   76.0000  2.455E-03
   77.0000  2.211E-03
   78.0000  1.971E-03
   79.0000  1.744E-03
   80.0000  1.524E-03
   81.0000  1.317E-03
   82.0000  1.124E-03
   83.0000  9.466E-04
   84.0000  7.855E-04
   85.0000  6.408E-04
   86.0000  5.113E-04
   87.0000  3.958E-04
   88.0000  2.935E-04
   89.0000  2.050E-04
------------------------------------------------------------
