Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      1.510 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.109E-02
    1.0000  1.109E-02
    2.0000  1.108E-02
    3.0000  1.108E-02
    4.0000  1.107E-02
    5.0000  1.106E-02
    6.0000  1.105E-02
    7.0000  1.104E-02
    8.0000  1.103E-02
    9.0000  1.101E-02
   10.0000  1.100E-02
   11.0000  1.098E-02
   12.0000  1.096E-02
   13.0000  1.093E-02
   14.0000  1.091E-02
   15.0000  1.088E-02
   16.0000  1.085E-02
   17.0000  1.082E-02
   18.0000  1.079E-02
   19.0000  1.075E-02
   20.0000  1.071E-02
   21.0000  1.067E-02
   22.0000  1.063E-02
   23.0000  1.058E-02
   24.0000  1.054E-02
   25.0000  1.049E-02
   26.0000  1.043E-02
   27.0000  1.038E-02
   28.0000  1.032E-02
   29.0000  1.026E-02
   30.0000  1.020E-02
   31.0000  1.013E-02
   32.0000  1.006E-02
   33.0000  9.986E-03
   34.0000  9.910E-03
   35.0000  9.823E-03
   36.0000  9.741E-03
   37.0000  9.654E-03
   38.0000  9.565E-03
   39.0000  9.471E-03
   40.0000  9.374E-03
   41.0000  9.273E-03
   42.0000  9.174E-03
   43.0000  9.065E-03
   44.0000  8.952E-03
   45.0000  8.834E-03
   46.0000  8.713E-03
   47.0000  8.586E-03
   48.0000  8.455E-03
   49.0000  8.320E-03
   50.0000  8.179E-03
   51.0000  8.034E-03
   52.0000  7.884E-03
   53.0000  7.728E-03
   54.0000  7.567E-03
   55.0000  7.401E-03
   56.0000  7.230E-03
   57.0000  7.053E-03
   58.0000  6.870E-03
   59.0000  6.681E-03
   60.0000  6.487E-03
   61.0000  6.287E-03
   62.0000  6.081E-03
   63.0000  5.869E-03
   64.0000  5.651E-03
   65.0000  5.427E-03
   66.0000  5.198E-03
   67.0000  4.963E-03
   68.0000  4.722E-03
   69.0000  4.477E-03
   70.0000  4.227E-03
   71.0000  3.971E-03
   72.0000  3.710E-03
   73.0000  3.453E-03
   74.0000  3.190E-03
   75.0000  2.926E-03
   76.0000  2.664E-03
   77.0000  2.404E-03
   78.0000  2.145E-03
   79.0000  1.899E-03
   80.0000  1.659E-03
   81.0000  1.431E-03
   82.0000  1.217E-03
   83.0000  1.021E-03
   84.0000  8.420E-04
   85.0000  6.822E-04
   86.0000  5.405E-04
   87.0000  4.153E-04
   88.0000  3.053E-04
   89.0000  2.108E-04
------------------------------------------------------------
