Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.140 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.098E-02
    1.0000  1.098E-02
    2.0000  1.097E-02
    3.0000  1.097E-02
    4.0000  1.096E-02
    5.0000  1.095E-02
    6.0000  1.094E-02
    7.0000  1.093E-02
    8.0000  1.092E-02
    9.0000  1.090E-02
   10.0000  1.088E-02
   11.0000  1.086E-02
   12.0000  1.084E-02
   13.0000  1.081E-02
   14.0000  1.079E-02
   15.0000  1.076E-02
   16.0000  1.073E-02
   17.0000  1.070E-02
   18.0000  1.066E-02
   19.0000  1.062E-02
   20.0000  1.058E-02
   21.0000  1.054E-02
   22.0000  1.050E-02
   23.0000  1.045E-02
   24.0000  1.040E-02
   25.0000  1.035E-02
   26.0000  1.029E-02
   27.0000  1.023E-02
   28.0000  1.017E-02
   29.0000  1.011E-02
   30.0000  1.004E-02
   31.0000  9.971E-03
   32.0000  9.898E-03
   33.0000  9.822E-03
   34.0000  9.742E-03
   35.0000  9.652E-03
   36.0000  9.566E-03
   37.0000  9.476E-03
   38.0000  9.382E-03
   39.0000  9.285E-03
   40.0000  9.184E-03
   41.0000  9.079E-03
   42.0000  8.976E-03
   43.0000  8.863E-03
   44.0000  8.746E-03
   45.0000  8.624E-03
   46.0000  8.498E-03
   47.0000  8.367E-03
   48.0000  8.232E-03
   49.0000  8.092E-03
   50.0000  7.948E-03
   51.0000  7.798E-03
   52.0000  7.644E-03
   53.0000  7.484E-03
   54.0000  7.320E-03
   55.0000  7.150E-03
   56.0000  6.975E-03
   57.0000  6.794E-03
   58.0000  6.608E-03
   59.0000  6.417E-03
   60.0000  6.220E-03
   61.0000  6.018E-03
   62.0000  5.810E-03
   63.0000  5.597E-03
   64.0000  5.379E-03
   65.0000  5.156E-03
   66.0000  4.927E-03
   67.0000  4.694E-03
   68.0000  4.456E-03
   69.0000  4.215E-03
   70.0000  3.970E-03
   71.0000  3.722E-03
   72.0000  3.470E-03
   73.0000  3.219E-03
   74.0000  2.967E-03
   75.0000  2.716E-03
   76.0000  2.467E-03
   77.0000  2.222E-03
   78.0000  1.981E-03
   79.0000  1.753E-03
   80.0000  1.532E-03
   81.0000  1.324E-03
   82.0000  1.129E-03
   83.0000  9.507E-04
   84.0000  7.887E-04
   85.0000  6.432E-04
   86.0000  5.130E-04
   87.0000  3.970E-04
   88.0000  2.944E-04
   89.0000  2.055E-04
------------------------------------------------------------
