Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.197 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.098E-02
    1.0000  1.098E-02
    2.0000  1.098E-02
    3.0000  1.097E-02
    4.0000  1.097E-02
    5.0000  1.096E-02
    6.0000  1.095E-02
    7.0000  1.093E-02
    8.0000  1.092E-02
    9.0000  1.090E-02
   10.0000  1.089E-02
   11.0000  1.087E-02
   12.0000  1.084E-02
   13.0000  1.082E-02
   14.0000  1.079E-02
   15.0000  1.077E-02
   16.0000  1.073E-02
   17.0000  1.070E-02
   18.0000  1.067E-02
   19.0000  1.063E-02
   20.0000  1.059E-02
   21.0000  1.055E-02
   22.0000  1.050E-02
   23.0000  1.045E-02
   24.0000  1.041E-02
   25.0000  1.035E-02
   26.0000  1.030E-02
   27.0000  1.024E-02
   28.0000  1.018E-02
   29.0000  1.011E-02
   30.0000  1.005E-02
   31.0000  9.979E-03
   32.0000  9.906E-03
   33.0000  9.830E-03
   34.0000  9.750E-03
   35.0000  9.660E-03
   36.0000  9.574E-03
   37.0000  9.484E-03
   38.0000  9.391E-03
   39.0000  9.294E-03
   40.0000  9.193E-03
   41.0000  9.088E-03
   42.0000  8.986E-03
   43.0000  8.873E-03
   44.0000  8.755E-03
   45.0000  8.634E-03
   46.0000  8.508E-03
   47.0000  8.378E-03
   48.0000  8.243E-03
   49.0000  8.103E-03
   50.0000  7.958E-03
   51.0000  7.809E-03
   52.0000  7.655E-03
   53.0000  7.495E-03
   54.0000  7.331E-03
   55.0000  7.161E-03
   56.0000  6.986E-03
   57.0000  6.806E-03
   58.0000  6.620E-03
   59.0000  6.429E-03
   60.0000  6.232E-03
   61.0000  6.030E-03
   62.0000  5.823E-03
   63.0000  5.610E-03
   64.0000  5.391E-03
   65.0000  5.168E-03
   66.0000  4.939E-03
   67.0000  4.706E-03
   68.0000  4.468E-03
   69.0000  4.226E-03
   70.0000  3.981E-03
   71.0000  3.733E-03
   72.0000  3.480E-03
   73.0000  3.229E-03
   74.0000  2.976E-03
   75.0000  2.725E-03
   76.0000  2.475E-03
   77.0000  2.230E-03
   78.0000  1.987E-03
   79.0000  1.759E-03
   80.0000  1.537E-03
   81.0000  1.328E-03
   82.0000  1.133E-03
   83.0000  9.536E-04
   84.0000  7.909E-04
   85.0000  6.448E-04
   86.0000  5.142E-04
   87.0000  3.979E-04
   88.0000  2.949E-04
   89.0000  2.058E-04
------------------------------------------------------------
