Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.173 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.098E-02
    1.0000  1.098E-02
    2.0000  1.098E-02
    3.0000  1.097E-02
    4.0000  1.096E-02
    5.0000  1.096E-02
    6.0000  1.095E-02
    7.0000  1.093E-02
    8.0000  1.092E-02
    9.0000  1.090E-02
   10.0000  1.088E-02
   11.0000  1.086E-02
   12.0000  1.084E-02
   13.0000  1.082E-02
   14.0000  1.079E-02
   15.0000  1.076E-02
   16.0000  1.073E-02
   17.0000  1.070E-02
   18.0000  1.066E-02
   19.0000  1.063E-02
   20.0000  1.059E-02
   21.0000  1.054E-02
   22.0000  1.050E-02
   23.0000  1.045E-02
   24.0000  1.040E-02
   25.0000  1.035E-02
   26.0000  1.029E-02
   27.0000  1.024E-02
   28.0000  1.018E-02
   29.0000  1.011E-02
   30.0000  1.005E-02
   31.0000  9.975E-03
   32.0000  9.902E-03
   33.0000  9.826E-03
   34.0000  9.747E-03
   35.0000  9.657E-03
   36.0000  9.570E-03
   37.0000  9.481E-03
   38.0000  9.387E-03
   39.0000  9.290E-03
   40.0000  9.189E-03
   41.0000  9.084E-03
   42.0000  8.982E-03
   43.0000  8.869E-03
   44.0000  8.751E-03
   45.0000  8.630E-03
   46.0000  8.504E-03
   47.0000  8.373E-03
   48.0000  8.238E-03
   49.0000  8.098E-03
   50.0000  7.954E-03
   51.0000  7.805E-03
   52.0000  7.650E-03
   53.0000  7.491E-03
   54.0000  7.326E-03
   55.0000  7.156E-03
   56.0000  6.981E-03
   57.0000  6.801E-03
   58.0000  6.615E-03
   59.0000  6.424E-03
   60.0000  6.227E-03
   61.0000  6.025E-03
   62.0000  5.817E-03
   63.0000  5.604E-03
   64.0000  5.386E-03
   65.0000  5.163E-03
   66.0000  4.934E-03
   67.0000  4.701E-03
   68.0000  4.463E-03
   69.0000  4.221E-03
   70.0000  3.976E-03
   71.0000  3.728E-03
   72.0000  3.476E-03
   73.0000  3.225E-03
   74.0000  2.972E-03
   75.0000  2.721E-03
   76.0000  2.472E-03
   77.0000  2.227E-03
   78.0000  1.985E-03
   79.0000  1.756E-03
   80.0000  1.535E-03
   81.0000  1.326E-03
   82.0000  1.131E-03
   83.0000  9.524E-04
   84.0000  7.900E-04
   85.0000  6.441E-04
   86.0000  5.137E-04
   87.0000  3.975E-04
   88.0000  2.947E-04
   89.0000  2.057E-04
------------------------------------------------------------
