Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.670 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.102E-02
    1.0000  1.102E-02
    2.0000  1.102E-02
    3.0000  1.102E-02
    4.0000  1.101E-02
    5.0000  1.100E-02
    6.0000  1.099E-02
    7.0000  1.098E-02
    8.0000  1.096E-02
    9.0000  1.095E-02
   10.0000  1.093E-02
   11.0000  1.091E-02
   12.0000  1.089E-02
   13.0000  1.087E-02
   14.0000  1.084E-02
   15.0000  1.081E-02
   16.0000  1.078E-02
   17.0000  1.075E-02
   18.0000  1.072E-02
   19.0000  1.068E-02
   20.0000  1.064E-02
   21.0000  1.060E-02
   22.0000  1.055E-02
   23.0000  1.051E-02
   24.0000  1.046E-02
   25.0000  1.041E-02
   26.0000  1.035E-02
   27.0000  1.030E-02
   28.0000  1.024E-02
   29.0000  1.017E-02
   30.0000  1.011E-02
   31.0000  1.004E-02
   32.0000  9.968E-03
   33.0000  9.893E-03
   34.0000  9.815E-03
   35.0000  9.727E-03
   36.0000  9.642E-03
   37.0000  9.554E-03
   38.0000  9.462E-03
   39.0000  9.366E-03
   40.0000  9.267E-03
   41.0000  9.163E-03
   42.0000  9.062E-03
   43.0000  8.951E-03
   44.0000  8.835E-03
   45.0000  8.715E-03
   46.0000  8.591E-03
   47.0000  8.462E-03
   48.0000  8.328E-03
   49.0000  8.190E-03
   50.0000  8.047E-03
   51.0000  7.899E-03
   52.0000  7.746E-03
   53.0000  7.588E-03
   54.0000  7.425E-03
   55.0000  7.257E-03
   56.0000  7.083E-03
   57.0000  6.904E-03
   58.0000  6.719E-03
   59.0000  6.528E-03
   60.0000  6.332E-03
   61.0000  6.131E-03
   62.0000  5.924E-03
   63.0000  5.711E-03
   64.0000  5.492E-03
   65.0000  5.268E-03
   66.0000  5.039E-03
   67.0000  4.805E-03
   68.0000  4.566E-03
   69.0000  4.322E-03
   70.0000  4.074E-03
   71.0000  3.823E-03
   72.0000  3.567E-03
   73.0000  3.314E-03
   74.0000  3.057E-03
   75.0000  2.800E-03
   76.0000  2.546E-03
   77.0000  2.294E-03
   78.0000  2.045E-03
   79.0000  1.810E-03
   80.0000  1.582E-03
   81.0000  1.366E-03
   82.0000  1.164E-03
   83.0000  9.781E-04
   84.0000  8.097E-04
   85.0000  6.587E-04
   86.0000  5.242E-04
   87.0000  4.047E-04
   88.0000  2.992E-04
   89.0000  2.081E-04
------------------------------------------------------------
