Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.011 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.096E-02
    1.0000  1.096E-02
    2.0000  1.096E-02
    3.0000  1.096E-02
    4.0000  1.095E-02
    5.0000  1.094E-02
    6.0000  1.093E-02
    7.0000  1.092E-02
    8.0000  1.090E-02
    9.0000  1.089E-02
   10.0000  1.087E-02
   11.0000  1.085E-02
   12.0000  1.083E-02
   13.0000  1.080E-02
   14.0000  1.078E-02
   15.0000  1.075E-02
   16.0000  1.072E-02
   17.0000  1.068E-02
   18.0000  1.065E-02
   19.0000  1.061E-02
   20.0000  1.057E-02
   21.0000  1.053E-02
   22.0000  1.048E-02
   23.0000  1.043E-02
   24.0000  1.038E-02
   25.0000  1.033E-02
   26.0000  1.028E-02
   27.0000  1.022E-02
   28.0000  1.016E-02
   29.0000  1.009E-02
   30.0000  1.002E-02
   31.0000  9.954E-03
   32.0000  9.881E-03
   33.0000  9.804E-03
   34.0000  9.724E-03
   35.0000  9.634E-03
   36.0000  9.547E-03
   37.0000  9.457E-03
   38.0000  9.363E-03
   39.0000  9.265E-03
   40.0000  9.164E-03
   41.0000  9.058E-03
   42.0000  8.955E-03
   43.0000  8.841E-03
   44.0000  8.724E-03
   45.0000  8.601E-03
   46.0000  8.475E-03
   47.0000  8.344E-03
   48.0000  8.208E-03
   49.0000  8.068E-03
   50.0000  7.923E-03
   51.0000  7.773E-03
   52.0000  7.618E-03
   53.0000  7.458E-03
   54.0000  7.293E-03
   55.0000  7.123E-03
   56.0000  6.948E-03
   57.0000  6.767E-03
   58.0000  6.581E-03
   59.0000  6.389E-03
   60.0000  6.192E-03
   61.0000  5.990E-03
   62.0000  5.782E-03
   63.0000  5.569E-03
   64.0000  5.351E-03
   65.0000  5.128E-03
   66.0000  4.900E-03
   67.0000  4.667E-03
   68.0000  4.430E-03
   69.0000  4.188E-03
   70.0000  3.944E-03
   71.0000  3.697E-03
   72.0000  3.446E-03
   73.0000  3.196E-03
   74.0000  2.945E-03
   75.0000  2.695E-03
   76.0000  2.448E-03
   77.0000  2.205E-03
   78.0000  1.965E-03
   79.0000  1.739E-03
   80.0000  1.520E-03
   81.0000  1.314E-03
   82.0000  1.121E-03
   83.0000  9.443E-04
   84.0000  7.838E-04
   85.0000  6.394E-04
   86.0000  5.103E-04
   87.0000  3.951E-04
   88.0000  2.931E-04
   89.0000  2.048E-04
------------------------------------------------------------
