Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.048 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.097E-02
    1.0000  1.097E-02
    2.0000  1.096E-02
    3.0000  1.096E-02
    4.0000  1.095E-02
    5.0000  1.094E-02
    6.0000  1.093E-02
    7.0000  1.092E-02
    8.0000  1.091E-02
    9.0000  1.089E-02
   10.0000  1.087E-02
   11.0000  1.085E-02
   12.0000  1.083E-02
   13.0000  1.081E-02
   14.0000  1.078E-02
   15.0000  1.075E-02
   16.0000  1.072E-02
   17.0000  1.069E-02
   18.0000  1.065E-02
   19.0000  1.061E-02
   20.0000  1.057E-02
   21.0000  1.053E-02
   22.0000  1.049E-02
   23.0000  1.044E-02
   24.0000  1.039E-02
   25.0000  1.034E-02
   26.0000  1.028E-02
   27.0000  1.022E-02
   28.0000  1.016E-02
   29.0000  1.010E-02
   30.0000  1.003E-02
   31.0000  9.959E-03
   32.0000  9.886E-03
   33.0000  9.809E-03
   34.0000  9.729E-03
   35.0000  9.639E-03
   36.0000  9.552E-03
   37.0000  9.462E-03
   38.0000  9.368E-03
   39.0000  9.271E-03
   40.0000  9.169E-03
   41.0000  9.064E-03
   42.0000  8.961E-03
   43.0000  8.848E-03
   44.0000  8.730E-03
   45.0000  8.608E-03
   46.0000  8.481E-03
   47.0000  8.351E-03
   48.0000  8.215E-03
   49.0000  8.075E-03
   50.0000  7.930E-03
   51.0000  7.780E-03
   52.0000  7.625E-03
   53.0000  7.466E-03
   54.0000  7.301E-03
   55.0000  7.131E-03
   56.0000  6.955E-03
   57.0000  6.775E-03
   58.0000  6.589E-03
   59.0000  6.397E-03
   60.0000  6.200E-03
   61.0000  5.998E-03
   62.0000  5.790E-03
   63.0000  5.577E-03
   64.0000  5.359E-03
   65.0000  5.136E-03
   66.0000  4.908E-03
   67.0000  4.675E-03
   68.0000  4.437E-03
   69.0000  4.196E-03
   70.0000  3.951E-03
   71.0000  3.704E-03
   72.0000  3.453E-03
   73.0000  3.203E-03
   74.0000  2.951E-03
   75.0000  2.701E-03
   76.0000  2.454E-03
   77.0000  2.210E-03
   78.0000  1.970E-03
   79.0000  1.743E-03
   80.0000  1.524E-03
   81.0000  1.316E-03
   82.0000  1.123E-03
   83.0000  9.461E-04
   84.0000  7.852E-04
   85.0000  6.405E-04
   86.0000  5.111E-04
   87.0000  3.956E-04
   88.0000  2.934E-04
   89.0000  2.050E-04
------------------------------------------------------------
