Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.080 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.097E-02
    1.0000  1.097E-02
    2.0000  1.097E-02
    3.0000  1.096E-02
    4.0000  1.096E-02
    5.0000  1.095E-02
    6.0000  1.094E-02
    7.0000  1.092E-02
    8.0000  1.091E-02
    9.0000  1.089E-02
   10.0000  1.088E-02
   11.0000  1.086E-02
   12.0000  1.083E-02
   13.0000  1.081E-02
   14.0000  1.078E-02
   15.0000  1.075E-02
   16.0000  1.072E-02
   17.0000  1.069E-02
   18.0000  1.065E-02
   19.0000  1.062E-02
   20.0000  1.058E-02
   21.0000  1.053E-02
   22.0000  1.049E-02
   23.0000  1.044E-02
   24.0000  1.039E-02
   25.0000  1.034E-02
   26.0000  1.028E-02
   27.0000  1.023E-02
   28.0000  1.016E-02
   29.0000  1.010E-02
   30.0000  1.003E-02
   31.0000  9.963E-03
   32.0000  9.890E-03
   33.0000  9.814E-03
   34.0000  9.734E-03
   35.0000  9.643E-03
   36.0000  9.557E-03
   37.0000  9.467E-03
   38.0000  9.373E-03
   39.0000  9.276E-03
   40.0000  9.175E-03
   41.0000  9.069E-03
   42.0000  8.966E-03
   43.0000  8.853E-03
   44.0000  8.735E-03
   45.0000  8.614E-03
   46.0000  8.487E-03
   47.0000  8.356E-03
   48.0000  8.221E-03
   49.0000  8.081E-03
   50.0000  7.936E-03
   51.0000  7.786E-03
   52.0000  7.632E-03
   53.0000  7.472E-03
   54.0000  7.307E-03
   55.0000  7.137E-03
   56.0000  6.962E-03
   57.0000  6.781E-03
   58.0000  6.595E-03
   59.0000  6.404E-03
   60.0000  6.207E-03
   61.0000  6.005E-03
   62.0000  5.797E-03
   63.0000  5.584E-03
   64.0000  5.366E-03
   65.0000  5.143E-03
   66.0000  4.914E-03
   67.0000  4.681E-03
   68.0000  4.444E-03
   69.0000  4.203E-03
   70.0000  3.958E-03
   71.0000  3.710E-03
   72.0000  3.459E-03
   73.0000  3.208E-03
   74.0000  2.957E-03
   75.0000  2.706E-03
   76.0000  2.458E-03
   77.0000  2.214E-03
   78.0000  1.973E-03
   79.0000  1.746E-03
   80.0000  1.526E-03
   81.0000  1.319E-03
   82.0000  1.125E-03
   83.0000  9.477E-04
   84.0000  7.864E-04
   85.0000  6.414E-04
   86.0000  5.118E-04
   87.0000  3.961E-04
   88.0000  2.938E-04
   89.0000  2.052E-04
------------------------------------------------------------
