Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.261 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.099E-02
    1.0000  1.099E-02
    2.0000  1.098E-02
    3.0000  1.098E-02
    4.0000  1.097E-02
    5.0000  1.096E-02
    6.0000  1.095E-02
    7.0000  1.094E-02
    8.0000  1.093E-02
    9.0000  1.091E-02
   10.0000  1.089E-02
   11.0000  1.087E-02
   12.0000  1.085E-02
   13.0000  1.083E-02
   14.0000  1.080E-02
   15.0000  1.077E-02
   16.0000  1.074E-02
   17.0000  1.071E-02
   18.0000  1.067E-02
   19.0000  1.064E-02
   20.0000  1.060E-02
   21.0000  1.055E-02
   22.0000  1.051E-02
   23.0000  1.046E-02
   24.0000  1.041E-02
   25.0000  1.036E-02
   26.0000  1.030E-02
   27.0000  1.025E-02
   28.0000  1.019E-02
   29.0000  1.012E-02
   30.0000  1.006E-02
   31.0000  9.987E-03
   32.0000  9.914E-03
   33.0000  9.838E-03
   34.0000  9.759E-03
   35.0000  9.669E-03
   36.0000  9.583E-03
   37.0000  9.494E-03
   38.0000  9.401E-03
   39.0000  9.304E-03
   40.0000  9.203E-03
   41.0000  9.099E-03
   42.0000  8.996E-03
   43.0000  8.883E-03
   44.0000  8.766E-03
   45.0000  8.645E-03
   46.0000  8.519E-03
   47.0000  8.389E-03
   48.0000  8.254E-03
   49.0000  8.115E-03
   50.0000  7.971E-03
   51.0000  7.821E-03
   52.0000  7.667E-03
   53.0000  7.508E-03
   54.0000  7.344E-03
   55.0000  7.174E-03
   56.0000  7.000E-03
   57.0000  6.819E-03
   58.0000  6.634E-03
   59.0000  6.443E-03
   60.0000  6.246E-03
   61.0000  6.044E-03
   62.0000  5.836E-03
   63.0000  5.623E-03
   64.0000  5.405E-03
   65.0000  5.182E-03
   66.0000  4.953E-03
   67.0000  4.719E-03
   68.0000  4.481E-03
   69.0000  4.239E-03
   70.0000  3.993E-03
   71.0000  3.745E-03
   72.0000  3.492E-03
   73.0000  3.241E-03
   74.0000  2.987E-03
   75.0000  2.735E-03
   76.0000  2.485E-03
   77.0000  2.239E-03
   78.0000  1.995E-03
   79.0000  1.766E-03
   80.0000  1.543E-03
   81.0000  1.333E-03
   82.0000  1.137E-03
   83.0000  9.568E-04
   84.0000  7.934E-04
   85.0000  6.467E-04
   86.0000  5.156E-04
   87.0000  3.988E-04
   88.0000  2.955E-04
   89.0000  2.062E-04
------------------------------------------------------------
