Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.066 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.097E-02
    1.0000  1.097E-02
    2.0000  1.097E-02
    3.0000  1.096E-02
    4.0000  1.095E-02
    5.0000  1.095E-02
    6.0000  1.094E-02
    7.0000  1.092E-02
    8.0000  1.091E-02
    9.0000  1.089E-02
   10.0000  1.087E-02
   11.0000  1.085E-02
   12.0000  1.083E-02
   13.0000  1.081E-02
   14.0000  1.078E-02
   15.0000  1.075E-02
   16.0000  1.072E-02
   17.0000  1.069E-02
   18.0000  1.065E-02
   19.0000  1.062E-02
   20.0000  1.058E-02
   21.0000  1.053E-02
   22.0000  1.049E-02
   23.0000  1.044E-02
   24.0000  1.039E-02
   25.0000  1.034E-02
   26.0000  1.028E-02
   27.0000  1.022E-02
   28.0000  1.016E-02
   29.0000  1.010E-02
   30.0000  1.003E-02
   31.0000  9.961E-03
   32.0000  9.888E-03
   33.0000  9.812E-03
   34.0000  9.732E-03
   35.0000  9.641E-03
   36.0000  9.555E-03
   37.0000  9.465E-03
   38.0000  9.371E-03
   39.0000  9.274E-03
   40.0000  9.172E-03
   41.0000  9.067E-03
   42.0000  8.964E-03
   43.0000  8.851E-03
   44.0000  8.733E-03
   45.0000  8.611E-03
   46.0000  8.485E-03
   47.0000  8.354E-03
   48.0000  8.218E-03
   49.0000  8.078E-03
   50.0000  7.933E-03
   51.0000  7.784E-03
   52.0000  7.629E-03
   53.0000  7.469E-03
   54.0000  7.304E-03
   55.0000  7.134E-03
   56.0000  6.959E-03
   57.0000  6.778E-03
   58.0000  6.592E-03
   59.0000  6.401E-03
   60.0000  6.204E-03
   61.0000  6.002E-03
   62.0000  5.794E-03
   63.0000  5.581E-03
   64.0000  5.363E-03
   65.0000  5.140E-03
   66.0000  4.911E-03
   67.0000  4.678E-03
   68.0000  4.441E-03
   69.0000  4.200E-03
   70.0000  3.955E-03
   71.0000  3.707E-03
   72.0000  3.456E-03
   73.0000  3.206E-03
   74.0000  2.954E-03
   75.0000  2.704E-03
   76.0000  2.456E-03
   77.0000  2.212E-03
   78.0000  1.972E-03
   79.0000  1.745E-03
   80.0000  1.525E-03
   81.0000  1.318E-03
   82.0000  1.125E-03
   83.0000  9.470E-04
   84.0000  7.859E-04
   85.0000  6.410E-04
   86.0000  5.115E-04
   87.0000  3.959E-04
   88.0000  2.936E-04
   89.0000  2.051E-04
------------------------------------------------------------
