Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      1.317 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.107E-02
    1.0000  1.107E-02
    2.0000  1.107E-02
    3.0000  1.106E-02
    4.0000  1.106E-02
    5.0000  1.105E-02
    6.0000  1.104E-02
    7.0000  1.103E-02
    8.0000  1.101E-02
    9.0000  1.100E-02
   10.0000  1.098E-02
   11.0000  1.096E-02
   12.0000  1.094E-02
   13.0000  1.092E-02
   14.0000  1.089E-02
   15.0000  1.086E-02
   16.0000  1.083E-02
   17.0000  1.080E-02
   18.0000  1.077E-02
   19.0000  1.073E-02
   20.0000  1.070E-02
   21.0000  1.065E-02
   22.0000  1.061E-02
   23.0000  1.057E-02
   24.0000  1.052E-02
   25.0000  1.047E-02
   26.0000  1.041E-02
   27.0000  1.036E-02
   28.0000  1.030E-02
   29.0000  1.024E-02
   30.0000  1.017E-02
   31.0000  1.011E-02
   32.0000  1.004E-02
   33.0000  9.964E-03
   34.0000  9.887E-03
   35.0000  9.800E-03
   36.0000  9.717E-03
   37.0000  9.630E-03
   38.0000  9.540E-03
   39.0000  9.446E-03
   40.0000  9.348E-03
   41.0000  9.247E-03
   42.0000  9.147E-03
   43.0000  9.037E-03
   44.0000  8.924E-03
   45.0000  8.805E-03
   46.0000  8.683E-03
   47.0000  8.556E-03
   48.0000  8.425E-03
   49.0000  8.288E-03
   50.0000  8.147E-03
   51.0000  8.001E-03
   52.0000  7.850E-03
   53.0000  7.694E-03
   54.0000  7.533E-03
   55.0000  7.366E-03
   56.0000  7.194E-03
   57.0000  7.017E-03
   58.0000  6.833E-03
   59.0000  6.644E-03
   60.0000  6.450E-03
   61.0000  6.249E-03
   62.0000  6.043E-03
   63.0000  5.831E-03
   64.0000  5.613E-03
   65.0000  5.389E-03
   66.0000  5.159E-03
   67.0000  4.925E-03
   68.0000  4.684E-03
   69.0000  4.439E-03
   70.0000  4.190E-03
   71.0000  3.935E-03
   72.0000  3.675E-03
   73.0000  3.419E-03
   74.0000  3.157E-03
   75.0000  2.896E-03
   76.0000  2.635E-03
   77.0000  2.377E-03
   78.0000  2.120E-03
   79.0000  1.877E-03
   80.0000  1.640E-03
   81.0000  1.415E-03
   82.0000  1.204E-03
   83.0000  1.010E-03
   84.0000  8.340E-04
   85.0000  6.763E-04
   86.0000  5.363E-04
   87.0000  4.125E-04
   88.0000  3.037E-04
   89.0000  2.099E-04
------------------------------------------------------------
