Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.038 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.097E-02
    1.0000  1.097E-02
    2.0000  1.096E-02
    3.0000  1.096E-02
    4.0000  1.095E-02
    5.0000  1.094E-02
    6.0000  1.093E-02
    7.0000  1.092E-02
    8.0000  1.091E-02
    9.0000  1.089E-02
   10.0000  1.087E-02
   11.0000  1.085E-02
   12.0000  1.083E-02
   13.0000  1.080E-02
   14.0000  1.078E-02
   15.0000  1.075E-02
   16.0000  1.072E-02
   17.0000  1.069E-02
   18.0000  1.065E-02
   19.0000  1.061E-02
   20.0000  1.057E-02
   21.0000  1.053E-02
   22.0000  1.048E-02
   23.0000  1.044E-02
   24.0000  1.039E-02
   25.0000  1.033E-02
   26.0000  1.028E-02
   27.0000  1.022E-02
   28.0000  1.016E-02
   29.0000  1.010E-02
   30.0000  1.003E-02
   31.0000  9.958E-03
   32.0000  9.884E-03
   33.0000  9.808E-03
   34.0000  9.728E-03
   35.0000  9.637E-03
   36.0000  9.551E-03
   37.0000  9.461E-03
   38.0000  9.367E-03
   39.0000  9.269E-03
   40.0000  9.168E-03
   41.0000  9.063E-03
   42.0000  8.960E-03
   43.0000  8.846E-03
   44.0000  8.728E-03
   45.0000  8.606E-03
   46.0000  8.480E-03
   47.0000  8.349E-03
   48.0000  8.213E-03
   49.0000  8.073E-03
   50.0000  7.928E-03
   51.0000  7.778E-03
   52.0000  7.623E-03
   53.0000  7.464E-03
   54.0000  7.299E-03
   55.0000  7.129E-03
   56.0000  6.953E-03
   57.0000  6.773E-03
   58.0000  6.586E-03
   59.0000  6.395E-03
   60.0000  6.198E-03
   61.0000  5.996E-03
   62.0000  5.788E-03
   63.0000  5.575E-03
   64.0000  5.357E-03
   65.0000  5.134E-03
   66.0000  4.905E-03
   67.0000  4.673E-03
   68.0000  4.435E-03
   69.0000  4.194E-03
   70.0000  3.949E-03
   71.0000  3.702E-03
   72.0000  3.451E-03
   73.0000  3.201E-03
   74.0000  2.950E-03
   75.0000  2.700E-03
   76.0000  2.452E-03
   77.0000  2.209E-03
   78.0000  1.968E-03
   79.0000  1.742E-03
   80.0000  1.523E-03
   81.0000  1.316E-03
   82.0000  1.123E-03
   83.0000  9.456E-04
   84.0000  7.848E-04
   85.0000  6.402E-04
   86.0000  5.109E-04
   87.0000  3.955E-04
   88.0000  2.933E-04
   89.0000  2.049E-04
------------------------------------------------------------
