Photolysis rate coefficients, s-1
   1 = NO2 -> NO + O(3P)                                 
values at z =      0.799 km
Columns: sza, photo-reactions
 sza, deg.          1
    0.0000  1.104E-02
    1.0000  1.104E-02
    2.0000  1.103E-02
    3.0000  1.103E-02
    4.0000  1.102E-02
    5.0000  1.101E-02
    6.0000  1.100E-02
    7.0000  1.099E-02
    8.0000  1.098E-02
    9.0000  1.096E-02
   10.0000  1.094E-02
   11.0000  1.092E-02
   12.0000  1.090E-02
   13.0000  1.088E-02
   14.0000  1.085E-02
   15.0000  1.083E-02
   16.0000  1.080E-02
   17.0000  1.076E-02
   18.0000  1.073E-02
   19.0000  1.069E-02
   20.0000  1.065E-02
   21.0000  1.061E-02
   22.0000  1.057E-02
   23.0000  1.052E-02
   24.0000  1.047E-02
   25.0000  1.042E-02
   26.0000  1.037E-02
   27.0000  1.031E-02
   28.0000  1.025E-02
   29.0000  1.019E-02
   30.0000  1.013E-02
   31.0000  1.006E-02
   32.0000  9.986E-03
   33.0000  9.911E-03
   34.0000  9.833E-03
   35.0000  9.745E-03
   36.0000  9.661E-03
   37.0000  9.573E-03
   38.0000  9.481E-03
   39.0000  9.386E-03
   40.0000  9.287E-03
   41.0000  9.184E-03
   42.0000  9.083E-03
   43.0000  8.972E-03
   44.0000  8.856E-03
   45.0000  8.737E-03
   46.0000  8.613E-03
   47.0000  8.484E-03
   48.0000  8.351E-03
   49.0000  8.213E-03
   50.0000  8.071E-03
   51.0000  7.923E-03
   52.0000  7.771E-03
   53.0000  7.613E-03
   54.0000  7.450E-03
   55.0000  7.282E-03
   56.0000  7.109E-03
   57.0000  6.930E-03
   58.0000  6.745E-03
   59.0000  6.555E-03
   60.0000  6.359E-03
   61.0000  6.158E-03
   62.0000  5.951E-03
   63.0000  5.738E-03
   64.0000  5.520E-03
   65.0000  5.296E-03
   66.0000  5.066E-03
   67.0000  4.832E-03
   68.0000  4.592E-03
   69.0000  4.348E-03
   70.0000  4.100E-03
   71.0000  3.849E-03
   72.0000  3.591E-03
   73.0000  3.337E-03
   74.0000  3.079E-03
   75.0000  2.821E-03
   76.0000  2.565E-03
   77.0000  2.312E-03
   78.0000  2.062E-03
   79.0000  1.825E-03
   80.0000  1.594E-03
   81.0000  1.376E-03
   82.0000  1.172E-03
   83.0000  9.850E-04
   84.0000  8.150E-04
   85.0000  6.626E-04
   86.0000  5.269E-04
   87.0000  4.065E-04
   88.0000  3.002E-04
   89.0000  2.085E-04
------------------------------------------------------------
