name,aka,lat,lon,altitude_km,tz
BHM,,33.553,-86.815,0.175,America/Chicago
PHX,,33.504,-112.096,0.344,America/Phoenix
TUS,,32.204,-110.878,0.789,America/Phoenix
LA,,34.067,-118.227,0.095,America/Los_Angeles
RIV,,34,-117.416,0.251,America/Los_Angeles
SAC,,38.614,-121.368,0.024,America/Los_Angeles
SD,,32.79,-116.944,0.144,America/Los_Angeles
SJ,,37.688,-121.784,0.138,America/Los_Angeles
DEN,,39.913,-105.189,1.784,America/Denver
PHL_DE,,39.739,-75.558,0.006,America/New_York
DC,,38.922,-77.013,0.047,America/New_York
MIA,,26.054,-80.257,0.001,America/New_York
TPA,,27.966,-82.23,0.028,America/New_York
ATL,,33.688,-84.29,0.262,America/New_York
CHI,,42.14,-87.799,0.199,America/Chicago
IND,,39.811,-86.114,0.234,America/Indiana/Indianapolis
KC,,39.117,-94.636,0.254,America/Chicago
LOU,,38.229,-85.655,0.163,America/Kentucky/Louisville
BAL,,39.311,-76.474,0.012,America/New_York
BOS_MA,,42.475,-70.971,0.054,America/New_York
GR,,42.984,-85.671,0.187,America/Detroit
DET,,42.229,-83.208,0.183,America/Detroit
MSP,,45.138,-93.208,0.277,America/Chicago
STL,,38.656,-90.198,0.137,America/Chicago
LV,,36.142,-115.079,0.535,America/Los_Angeles
BOS_NH,,42.863,-71.38,0.109,America/New_York
NYC_NJ,,40.462,-74.429,0.02,America/New_York
ROC,,40.961,-73.139,0.002,America/New_York
NYC_NY,,40.868,-73.878,0.038,America/New_York
CLT,,35.24,-80.786,0.23,America/New_York
RAL,,35.856,-78.574,0.103,America/New_York
CLE,,41.492,-81.678,0.206,America/New_York
CIN,,39.129,-84.504,0.26,America/New_York
PDX,,45.497,-122.603,0.07,America/Los_Angeles
PIT,,40.465,-79.961,0.251,America/New_York
PHL_PA,,39.991,-75.081,0.006,America/New_York
PVD,,41.841,-71.361,0.019,America/New_York
MEM,,35.152,-89.85,0.089,America/Chicago
DFW,,32.82,-96.86,0.13,America/Chicago
HOU,,29.67,-95.129,0.011,America/Chicago
SLC,"Hawthorne, hawthorne, HW, HA",40.736,-111.872,1.307,America/Denver
RIC,,37.557,-77.4,0.056,America/New_York
SEA,,47.568,-122.309,0.102,America/Los_Angeles
KSLC,,40.787,-111.962,1.284,America/Denver
KOGD,,41.196,-112.013,1.325,America/Denver
WSU,"Weber State, weber state",41.1925,-111.944,1.422,America/Denver
OGD,"Ogden, ogden",41.22,-111.972,1.312,America/Denver
